title,title_note,date
Fellow of the Higher Education Academy,,2024
SPECTRUM Annual Meeting,Best Presentation,2024
University of Melbourne Faculty of Engineering and Information Technology Excellence Award in Interdisciplinary Research,,2021
IPAA Spirit of Service Awards,Finalist,2021
Engagement Australia Excellence Awards - Outstanding Engagement for Research Impact,Finalist,2021
Top Poster Award - European Congress of Clinical Microbiology & Infectious Diseases,,2021
IPAA Victoria Leadership in the Public Sector Awards,Finalist,2021
Best PhD Student Presentation - PRISM² Annual Conference,,2017
Applied Probability Trust Prize,for best Applied Mathematics Postgraduate Thesis,2016
Australian Postgraduate Award,,2015
Dean's Commendation for Thesis Excellence,,2015
