title,institution,amount,date
SPARKLE,Department of Foreign Affairs and Trade,5000000,2024
SHIELD: Surveillance of Healthcare-associated Infections for Effective Local Data,NHMRC,2000000,2025
Modelling Work in Low and Middle Income Counties in the Western Pacific Region for the COVID-19 SAGE Working Group,World Health Organisation,8157,2024
Modelling To Support Australia’s Resilience to and Preparedness for Omicron And Future Sars-Cov-2 Variants,Commonwealth Government of Australia,80059,2024
Contractual Partner to Conduct Research on Healthcare-Associated Infection Rates in Phillippine Hospitals,World Health Organisation Phillippines,72078,2023
Centre of Western Public Health Unit,Contract Research,25000,2023
Extending and comparing methods for projecting social contact matrices,SPECTRUM/SPARK Seed Funding,19438,2022
Quantifying longitudinal relationships between community mobility and COVID-19 case incidence in west metropolitan Melbourne,SPECTRUM/SPARK Seed Funding,19896,2022
Modelling to support Australia's national plan for COVID-19,Commonwealth Government of Australia,147536,2021
Modelling to support Australia's transition to 'COVID-normal',Australian Office of Health Protection,25620,2021
