title,title_note,institution,date
Gamifying data visualisation: Teaching ggplot2 through competitive code golf,,International Congress on Teaching Statistics,2026
Gamifying data visualisation: Teaching ggplot2 through competitive code golf,,useR! Conference,2026
Gamifying data visualisation: Teaching ggplot2 through competitive code golf,,Australia and New Zealand Industrial Applied Mathematics Conference,2026
Modelling chytridiomycosis transmission in frogs,,Australia and New Zealand Industrial Applied Mathematics Conference,2025
airpurifyr: Open Air Quality Data in R,,WOMBAT Annual Meeting: Open the world with open source,2024
Networks of networks in infectious diseases modelling,Panelist,Infectious Diseases Modelling Conference,2024
Generating synthetic contact matrices using open-source data,,Australia and New Zealand Industrial Applied Mathematics Conference,2024
Data-Driven Insights into Healthcare Challenges: Two Case Studies,Invited Speaker,Universitätsklinikum Freiburg Seminar Series,2023
Data-Driven Insights into Healthcare Challenges: Two Case Studies,,UNSW Australia Statistics & Data Science Seminar,2023
Burden of healthcare associated infections in Australia,,Australia and New Zealand Industrial Applied Mathematics Conference,2022
Exponential Random Graph Models and CPE transmission,Invited Speaker,Melbourne Mathematical Biology Seminar Series,2021
"Mathematical modelling for COVID-19 in Victoria, Australia",Invited Speaker,"Math for Industry Forum, Vietnam",2021
The associations between transmission of CPE and ward connectivity: a network analysis,,Australasian Society for Infectious Diseases Annual Scientific Meeting,2021
The burden of healthcare acquired infections in Australian public hospitals,,Australasian Society for Infectious Diseases Annual Scientific Meeting,2021
Decision Making and Mathematical Biology - Victoria's usage of COVID-19 modelling,Invited Speaker,Mathematical Biology Special Interest Group Workshop,2021
"Modelling between-household effective contact and the elimination of COVID-19 in Melbourne, Australia",,Australia and New Zealand Industrial Applied Mathematics Conference,2021
Mathematical modelling and Victoria's response to COVID-19,Invited Speaker,Victorian ANZIAM Branch Meeting,2020
Australia's experience and the role of modelling in its responses to COVID-19,Invited Speaker,Usher Institute COVID-19 Webinar,2020
Estimating epidemiological quantities for skin sores in remote Australian communities using interval-censored data,,Australia and New Zealand Industrial Applied Mathematics Conference,2019
Estimating epidemiological quantities for skin sores in remote Australian communities using interval-censored data,,NSW-ACT ANZIAM Branch Meeting,2018
Coupled models of Group A Streptococcus and Scabies: How likely is eradication?,,PRISM International Conference,2018
Investigating the dynamics of coupled epidemiological transmission models with application to Group A Streptococcus and Scabies,,Society for Mathematical Biology Annual Meeting,2018
Investigating the dynamics of coupled models with applications to Group A Streptococcus and Scabies,,Australia and New Zealand Industrial Applied Mathematics Conference,2018
Quantifying the age of first infection with skin sores in five remote Australian Aboriginal communities,,Lancefield International Symposium on Streptococci and Streptococcal Diseases,2017
Investigating the dynamics of coupled models with applications to Group A Streptococcus and Scabies,,PRISM Annual Knowledge Transfer and Training Conference,2017
Constructing mathematical models of Group A Streptococcus and Scabies in remote Australian Indigenous communities,Invited Speaker,Zeeman Institute Seminar Series,2017
Developing a model for the transmission and treatment dynamics of scabies infections a high prevalence setting,,Melbourne-Manchester Joint Workshop,2017
Developing a model for the transmission of Group A Streptococcus,,Australia and New Zealand Industrial Applied Mathematics Conference,2017
Determining the age of first infection from incomplete data,,Modelling Emerging Infections and Neglected Tropical Diseases Workshop,2016
Investigating Intervention Intervals for Scabies Infections,,Australia and New Zealand Industrial Applied Mathematics Conference,2016
