title,title_note,detail,date
Equity Diversity & Social Inclusion Committee,,Department representative,2024-
International Conference on Prevention and Infection Control,,Abstract Reviewer,2025
SPECTRUM Annual Meeting,,Organising committee,2024
SPARK Short Course in Mathematical Diseases Modelling,OUCRU,Facilitator,2023
International Conference on Prevention and Infection Control,,Abstract Reviewer,2023
Maths in Industry Study Group,NSW Health,Moderator,2023
WOMBAT Communicating with Data Workshop,,Organising Committee,2023
Australian and New Zealand Industrial and Applied Mathematics Executive Committee,,Treasurer,2022-
Australian and New Zealand Industrial and Applied Mathematics Executive Committee,,Early Career Representative,2021-2022
SPECTRUM-SPARK Early Career Researcher Committee,,Chair,2022-
SPARK Short Course in Mathematical Diseases Modelling,Mahidol University,Facilitator,2022
Research Tools Workshop in R,,Facilitator,2022
Mathematical Biology Special Interest Group,,Treasurer,2019-2022
ANZIAM 2021 Conference,,Organising Committee (Treasurer),2020-2021
Computational Biology Research Initiative,The University of Melbourne,Postgraduate Representative,2017
Computational Biology Postgraduate Sports Group,The University of Melbourne,Secretary,2017-2018
Maths in Industry Study Group,,Participant,"2017, 2018, 2019"
The ConocoPhillips Science Experience,The University of Melbourne,Activity Organiser,2016-2018
Mathematicians in Schools,CSIRO,Project Supervisor/Mentor,2016-2018
